1 .000016 .000121
65 .007966 .001253
129 .044037 .008533
193 .127090 .027915
257 .283905 .067641
321 .550702 .135731
385 .935015 .237297
449 1.450994 .376674
513 2.156882 .560814
577 3.273752 .821418
641 3.937134 1.068033
705 5.270841 1.441061
769 6.881118 1.887642
833 8.588950 2.415080
897 10.693886 3.495022
961 18.135012 5.748779
1025 23.630901 7.935348
1089 29.824488 9.828663
1153 35.354328 11.815118
1217 41.382320 14.014508
1281 48.387030 16.252787
1345 56.074739 18.831214
1409 64.001678 21.651660
1473 74.043911 24.974610
