30000000 .046649 .031720 .030665 .029199 .030702 .029891 .030324 .030086 .029828 .029788 .029870 .030029 .030084 .029752 .029694 .029891
60000000 .092075 .060138 .059240 .055906 .057942 .056408 .056719 .055859 .057075 .056101 .056144 .056376 .056548 .056223 .056222 .056232
90000000 .139306 .089267 .086681 .083395 .087561 .084333 .084534 .084224 .085024 .084917 .084193 .084386 .084434 .084487 .084158 .084462
120000000 .184490 .120537 .117952 .113285 .116323 .113719 .114412 .113033 .115050 .113505 .113784 .113834 .113904 .113046 .114575 .114316
150000000 .229367 .147412 .142311 .137745 .140068 .138099 .138763 .138288 .138622 .138517 .137712 .137798 .138376 .137915 .137586 .138441
