73	.000047	.000043
137	.000168	.000141
201	.000358	.000311
265	.000641	.000524
329	.000970	.000809
393	.001391	.001143
457	.001947	.001548
521	.002630	.002025
585	.004618	.002566
649	.004784	.003176
713	.005287	.003842
777	.006300	.004602
841	.008188	.005421
905	.009811	.006285
969	.012127	.007069
1033	.014887	.008042
1097	.017727	.009033
1161	.020947	.009948
1225	.023971	.011186
1289	.027128	.012436
1353	.030192	.013684
1417	.033415	.015065
1481	.037008	.016550
1545	.040178	.018012
1609	.044084	.019510
1673	.048420	.020844
1737	.052185	.022219
1801	.056297	.024299
1865	.060235	.025987
1929	.064529	.027728
1993	.069675	.029551
2057	.073883	.031762
2121	.078734	.033516
2185	.083802	.035527
2249	.088086	.038181
2313	.094127	.039911
2377	.099030	.042053
2441	.104595	.044188
2505	.110249	.046591
