73	.000035	.000023
137	.000088	.000076
201	.000260	.000148
265	.000457	.000256
329	.000746	.000641
393	.001502	.000623
457	.001313	.001233
521	.002312	.001224
585	.003263	.001871
649	.004705	.001429
713	.005755	.001758
777	.007209	.002088
841	.008650	.002424
905	.009667	.002829
969	.011232	.003212
1033	.012452	.003667
1097	.014674	.004142
1161	.015661	.004653
1225	.018166	.005144
1289	.020479	.005679
1353	.022381	.006383
1417	.023887	.006818
1481	.026553	.007487
1545	.028894	.008140
1609	.033195	.008785
1673	.034702	.009526
1737	.038490	.010350
1801	.040433	.011010
1865	.044300	.011818
1929	.045866	.012657
1993	.051110	.013551
2057	.054493	.014758
2121	.058199	.015349
2185	.060645	.016208
2249	.065286	.017210
2313	.071001	.018228
2377	.074712	.019234
2441	.074529	.020338
2505	.088283	.021396
